Player Name,Club Name,Total,Short,Medium,Long,,Expected,Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast
Vinicius Tobias,Real Madrid,br BRA,DF,19,0.9,,,,,,,,,,,,,Matches
Mario Martín,Real Madrid,es ESP,MF,19,0.4,175,15,42,5,5,100.0,6,0,0,0,0,,Matches
Gonzalo García,Real Madrid,es ESP,MF,19,0.2,35,7,7,4,6,66.7,0,0,0,0,0,,Matches
Álvaro Muñoz,Real Madrid,uy URU,FW,19,0.1,0,0,0,0,0,,0,0,0,0,0,,Matches
Yann Sommer,Inter,ch SUI,GK,34,43.3,30525,1556,19149,367,368,99.7,702,0,0,0,466,58.4,Matches
Henrikh Mkhitaryan,Inter,am ARM,MF,34,38.9,25699,1936,6632,921,1014,90.8,563,51,1,218,164,72.0,Matches
Nicolò Barella,Inter,it ITA,MF,26,38.8,34654,2511,11033,1118,1226,91.2,765,94,16,324,279,64.5,Matches
Lautaro Martínez,Inter,ar ARG,FW,25,38.3,9993,891,2383,375,447,83.9,220,24,2,98,66,68.2,Matches
Marcus Thuram,Inter,fr FRA,FW,25,37.2,6505,757,1287,360,461,78.1,118,22,4,59,27,66.7,Matches
Hakan Çalhanoğlu,Inter,tr TUR,MF,29,35.9,44228,2753,13257,1053,1116,94.4,1018,48,15,217,426,70.0,Matches
Matteo Darmian,Inter,it ITA,"DF,FW",33,34.6,23975,1650,7881,605,669,90.4,651,17,9,84,179,59.2,Matches
Francesco Acerbi,Inter,it ITA,DF,35,34.6,33966,2085,10527,702,763,92.0,990,6,3,109,208,73.6,Matches
Alessandro Bastoni,Inter,it ITA,DF,24,32.3,38698,2336,12356,788,840,93.8,938,40,17,165,385,67.3,Matches
Federico Dimarco,Inter,it ITA,DF,25,29.5,20667,1548,6504,572,631,90.6,457,65,35,112,240,54.2,Matches
Benjamin Pavard,Inter,fr FRA,DF,27,26.3,26406,1679,8455,640,675,94.8,706,14,3,109,197,66.5,Matches
Carlos Augusto,Inter,br BRA,"DF,FW",24,26.1,18096,1373,5927,579,645,89.8,438,17,10,69,129,62.0,Matches
Stefan de Vrij,Inter,nl NED,DF,31,24.1,23534,1432,7525,486,513,94.7,754,5,0,57,92,72.8,Matches
