Player Name,Club Name,Country,Position,PostShotExpectedGoals/90min,90s,GoalsAgainst,PKAgainst,FKGoalsAgainst,CornerKickGoalsAgainst,OwnGoalsScoredAgainst,PostShotExpectedGoals,PostShotExpectedGoals/ShotOnTarget,PostShotExpectedGoals/90min,90s,LongPassesCompleted,LongPassesAttempted,LongPassesCompleted%,ShortPassesAttempted,ThrowsAttempted,Launch%,AveragePassLength,GKAttempted,/90,Cmp,CrossesStopped,CrossesStopped%,DefenseOutsidePenalyArea,DefenseOutsidePenalyArea/90min,AvgDistanceofDefenseOutsidePenalyArea,MatchesPlayed,MatchesStarted,Minutes,90s(MinutesPlayed/90s),GoalsAgainst,GoalsAgainst/90,ShotsOnTargetAgainst,Saves,Save%,Wins,Draws,Losses,CleanSheats,CleanSheats%,PKAttempted,PKAllowed,PKSaved,PKMissed,PKSave%
Juan Musso,Atalanta,ARG,GK,29,24,21,5,0,3,1,20.2,0.23,1.2,0.05,111,302,36.8,620,126,31.5,32.5,147,72.8,51.7,23,10.4,39,1.7,16.5,24,24,"2,160",24,21,0.87,71,51,77.5,14,5,5,11,45.8,5,5,0,0,0
Francesco Rossi,Atalanta,ITA,GK,32,0.1,0,0,0,0,0,0.8,0.75,0.8,5.63,2,5,40,3,2,33.3,27.3,4,100,64,0,0,0,0,,2,0,12,0.1,0,0,1,1,100,0,0,0,2,,0,0,0,0,
Unai Simón,Athletic Club,ESP,GK,26,35.4,33,1,0,2,4,38,0.28,9,0.26,220,679,32.4,982,144,48.5,38.7,240,84.6,60.9,31,6.9,46,1.3,16.3,36,36,"3,182",35.4,33,0.93,122,90,73.8,18,11,7,16,44.4,5,1,3,1,75
Julen Agirrezabala,Athletic Club,ESP,GK,22,11.3,8,0,0,0,0,2.4,0.2,-1.6,-0.61,18,49,36.7,78,20,35.9,32.4,22,95.5,64.5,2,4.9,3,1.13,15.3,12,10,"1,018",11.3,8,0.71,39,31,79.5,8,1,1,7,70,0,0,0,0,
Łukasz Skorupski,Bologna,POL,GK,32,34.3,29,3,1,3,1,26.6,0.23,-1.4,-0.05,103,297,34.7,829,136,26.3,29.6,188,42,38.7,12,2.8,15,0.47,12.2,34,34,"3,090",34.3,29,0.84,111,82,76.6,15,14,5,15,44.1,6,3,1,2,25
Federico Ravaglia,Bologna,ITA,GK,23,8.3,4,0,1,0,0,5.5,0.25,2.5,0.43,14,49,28.6,172,23,18,25.4,34,52.9,41,1,1.4,4,0.67,17.1,8,8,745,8.3,4,0.48,26,21,84.6,6,1,1,5,62.5,2,0,2,0,100
Nicola Bagnolini,Bologna,ITA,GK,19,0.1,0,0,0,0,0,0,0.02,0,0.36,1,2,50,1,0,100,47,2,50,53,0,,0,0,,1,0,5,0.1,0,0,1,1,100,0,0,0,0,,0,0,0,0,
Marco Bizot,Brest,NED,GK,32,32,34,2,0,4,0,36.2,0.27,2.2,0.07,232,482,48.1,908,134,39.3,35.1,188,66.5,47.3,18,4.7,41,1.28,15.7,32,32,"2,876",32,34,1.06,129,94,75.2,15,10,7,13,40.6,3,2,1,0,33.3
Grégoire Coudert,Brest,FRA,GK,24,5,4,0,0,0,0,0.3,0.07,0.3,0.13,12,36,33.3,70,10,41.4,37.2,10,70,55.4,0,0,2,0.99,23,6,5,451,5,4,0.8,18,14,77.8,4,0,1,2,40,0,0,0,0,
Emiliano Martínez,Aston Villa,ARG,GK,30,45.8,61,1,0,12,4,61.8,0.37,7.8,0.18,164,423,38.8,1635,196,20.7,27.6,203,41.4,36.7,54,12.1,86,2.02,17.7,46,46,"4,125",45.8,61,1.33,182,124,67,25,10,11,13,28.3,1,1,0,0,0
Robin Olsen,Aston Villa,SWE,GK,33,7.5,20,1,1,0,0,14,0.29,-4,-0.62,22,63,34.9,260,31,18.8,26.5,40,35,34,6,10,1,0.15,9.2,8,7,675,7.5,20,2.67,47,26,59.6,2,0,5,0,0,2,1,1,0,50
Filip Marshall,Aston Villa,ENG,GK,20,1,1,0,0,0,0,0.6,0.58,-0.4,-0.42,1,4,25,26,5,15.4,25,6,0,16.7,0,0,6,6,21.3,1,1,90,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,
Lucas Chevalier,Lille,FRA,GK,21,42.3,39,3,0,4,2,41.4,0.26,6.4,0.16,123,410,30,1250,146,26,29.7,161,52.8,44.3,36,8.1,41,1.03,13.1,42,42,"3,809",42.3,39,0.92,152,113,76.3,22,11,9,19,45.2,5,3,2,0,40
