Player Name,Club Name,Minutes%,Position,GoalsAllowedByTeamInHisPresence,GoalsScoredByTeamInHisPresence-GoalsScoredByTeamInHisAbsence,MinutesPlayed,MinutesPlayed/Match,Player,GamesStarted,MinutesStarted/Match,MatchesCompleted,SubstitueAppearances,Minutes/Substitution,GameAsUnusedSub,TeamPointsPerMatch,GoalsScoredByTeamInHisPresence,GoalsScored-GoalsAllowed,GoalsScored-GoalsAllowed/90,xGOfTeamScoring,xGOfTeamConceding,xGOfTeamScoring-xGOfTeamConceding,xGOfTeamScoring-xGOfTeamConceding/90,xGOfTeamScoringWithHim-xGOfTeamScoringWithoutHim/90,+/-,+/-90
Toni Kroos,Real Madrid,62.9,MF,36,-0.28,"3,171",66,35.2,35,80,13,13,29,6,2.41,82,+46,+1.31,59.4,37.1,+22.4,+0.68,-0.35,Matches,
Nacho,Real Madrid,62.1,DF,26,-0.01,"3,131",70,34.8,33,87,25,12,21,6,2.42,75,+49,+1.41,53.9,33.6,+20.3,+0.68,-0.29,Matches,
Vinicius Júnior,Real Madrid,60.9,FW,31,-0.16,"3,067",79,34.1,35,85,14,4,26,3,2.46,77,+46,+1.35,54.6,33.8,+20.8,+0.68,-0.30,Matches,
Andriy Lunin,Real Madrid,56.5,GK,32,-0.12,"2,850",92,31.7,31,92,31,0,,24,2.32,75,+43,+1.36,54.2,29.5,+24.7,+0.85,+0.12,Matches,
Ferland Mendy,Real Madrid,56.1,DF,25,+0.05,"2,827",76,31.4,33,83,20,4,20,7,2.35,70,+45,+1.43,50.8,29.0,+21.8,+0.77,-0.07,Matches,
Eduardo Camavinga,Real Madrid,55.9,MF,24,+0.21,"2,817",61,31.3,32,77,11,14,25,0,2.39,71,+47,+1.50,52.0,32.0,+20.0,+0.70,-0.23,Matches,
Aurélien Tchouaméni,Real Madrid,55.7,"MF,DF",28,-0.51,"2,808",74,31.2,31,85,24,7,24,2,2.53,65,+37,+1.19,48.8,26.6,+22.2,+0.77,-0.06,Matches,
Luka Modrić,Real Madrid,44.6,MF,23,-0.16,"2,249",49,25.0,23,77,6,23,20,7,2.35,56,+33,+1.32,43.0,21.7,+21.3,+0.92,+0.22,Matches,
Joselu,Real Madrid,42.1,FW,15,+1.30,"2,121",43,23.6,18,85,13,31,19,3,2.47,66,+51,+2.16,49.5,19.6,+29.9,+1.37,+0.99,Matches,
Brahim Díaz,Real Madrid,41.0,"MF,FW",15,+1.15,"2,067",47,23.0,22,74,2,22,20,11,2.46,63,+48,+2.09,42.9,18.5,+24.4,+1.19,+0.65,Matches,
