Player Name,Club Name,Country,Position,Age,90s,Goals,Shots,ShotsOnTarget,ShotsOnTarget%,Shots/90min,ShotsOnTarget/90min,Goals/Shot,Goals/ShotOnTarget,AverageShotDistance,ShotsfromFreeKicks,PKMade,TotalPK,ExpectedGoal,NonPenaltyExpectedGoals,NonPenaltyExpectedGoals/shot,Goals-XG,NonPenaltyGoals-NonPenaltyXG,npxG
Olivier Giroud,Milan,FRA,FW,36,37.0,17,96,40,41.7,2.59,1.08,0.14,0.33,12.7,2,4,6,18.5,13.8,0.14,-1.5,-0.8,Matches
Davide Calabria,Milan,ITA,DF,26,32.9,1,22,8,36.4,0.67,0.24,0.05,0.13,17.7,0,0,0,1.5,1.5,0.07,-0.5,-0.5,Matches
Ruben Loftus-Cheek,Milan,ENG,MF,27,31.6,10,59,18,30.5,1.87,0.57,0.17,0.56,15.6,0,0,0,6.2,6.2,0.10,+3.8,+3.8,Matches
Fikayo Tomori,Milan,ENG,DF,25,31.6,4,24,8,33.3,0.76,0.25,0.17,0.50,11.8,2,0,0,4.3,4.3,0.18,-0.3,-0.3,Matches
Yunus Musah,Milan,USA,MF,20,24.9,0,24,9,37.5,0.96,0.36,0.00,0.00,19.9,0,0,0,1.3,1.3,0.07,-1.3,-1.3,Matches
Malick Thiaw,Milan,GER,DF,21,24.0,0,8,1,12.5,0.33,0.04,0.00,0.00,12.4,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
Alessandro Florenzi,Milan,ITA,DF,32,23.8,1,39,10,25.6,1.64,0.42,0.03,0.10,25.5,5,0,0,1.9,1.9,0.05,-0.9,-0.9,Matches
Yacine Adli,Milan,FRA,MF,23,20.7,1,8,2,25.0,0.39,0.10,0.13,0.50,22.4,1,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
Matteo Gabbia,Milan,ITA,DF,23,20.1,3,17,7,41.2,0.85,0.35,0.18,0.43,12.3,0,0,0,1.9,1.9,0.11,+1.1,+1.1,Matches
Simon Kjær,Milan,DEN,DF,34,16.3,0,7,1,14.3,0.43,0.06,0.00,0.00,10.0,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
Samuel Chukwueze,Milan,NGA,FW,24,15.4,3,40,14,35.0,2.59,0.91,0.08,0.21,17.0,0,0,0,2.7,2.7,0.07,+0.3,+0.3,Matches
Ismaël Bennacer,Milan,ALG,MF,25,14.8,2,15,1,6.7,1.01,0.07,0.07,1.00,22.1,2,1,1,1.9,1.1,0.07,+0.1,-0.1,Matches
Luka Jović,Milan,SRB,"FW,MF",25,13.9,9,35,18,51.4,2.51,1.29,0.26,0.50,11.9,0,0,0,6.1,6.1,0.20,+0.9,+0.9,Matches
Noah Okafor,Milan,SUI,FW,23,11.4,6,26,15,57.7,2.28,1.31,0.23,0.40,13.9,0,0,0,4.2,4.2,0.16,+1.8,+1.8,Matches
Rade Krunić,Milan,BIH,"MF,DF",29,10.0,0,3,1,33.3,0.30,0.10,0.00,0.00,17.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Marco Sportiello,Milan,ITA,GK,31,7.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pierre Kalulu,Milan,FRA,DF,23,5.7,0,2,0,0.0,0.35,0.00,0.00,,11.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Tommaso Pobega,Milan,ITA,MF,24,5.2,0,13,5,38.5,2.50,0.96,0.00,0.00,15.6,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
Antonio Mirante,Milan,ITA,GK,40,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jan-Carlo Simic,Milan,SRB,DF,18,3.0,1,3,1,33.3,1.02,0.34,0.33,1.00,6.2,0,0,0,0.6,0.6,0.31,+0.4,+0.4,Matches
Alejandro Jiménez,Milan,ESP,DF,18,2.3,0,3,0,0.0,1.30,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Luka Romero,Milan,ARG,"FW,MF",18,1.8,0,2,0,0.0,1.14,0.00,0.00,,9.5,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
Filippo Terracciano,Milan,ITA,"DF,FW",20,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
