Player Name,Club Name,Country,Position,ShortPassesCompleted%,TotalPassingDistance,PassesAttempted,ProgressivePassingDistance,ShortPassesCompleted,ShortPassesAttempted,ShortPassesCompleted%,MediumPassesCompleted,PassesIntoPenaltyArea,CrossesIntoPenaltyArea,ProgressivePasses,LongPassesAttempted,LongPassesCompleted%
Phil Foden,Manchester City,ENG,"FW,MF",23,25726,2222,4849,1251,1329,94.1,502,80,8,221,161,50.3
Kyle Walker,Manchester City,ENG,DF,33,44094,2920,10308,1201,1276,94.1,1142,35,14,191,298,69.8
Manuel Akanji,Manchester City,SUI,"DF,MF",28,45530,2986,12409,1415,1470,96.3,1176,21,2,195,202,78.2
Erling Haaland,Manchester City,NOR,FW,23,4131,477,729,241,295,81.7,80,19,0,37,8,62.5
Rúben Dias,Manchester City,POR,DF,26,57984,3567,18738,1429,1480,96.6,1699,13,3,227,262,74
Bernardo Silva,Manchester City,POR,"FW,MF",28,29925,2296,6142,1175,1250,94,650,63,13,212,177,68.4
Ederson,Manchester City,BRA,GK,29,31417,1483,21063,331,334,99.1,680,1,0,4,451,66.3
Joško Gvardiol,Manchester City,CRO,DF,21,34088,2540,8359,1258,1355,92.8,841,24,3,183,140,74.3
Julián Álvarez,Manchester City,ARG,"MF,FW",23,16271,1442,3526,721,791,91.2,307,44,4,122,163,42.9
Nathan Aké,Manchester City,NED,"DF,MF",28,32649,2286,10586,1091,1134,96.2,924,9,3,148,106,58.5
Mateo Kovačić,Manchester City,CRO,MF,29,24994,1879,5604,1048,1086,96.5,613,18,0,116,69,71
Jeremy Doku,Manchester City,BEL,"FW,MF",21,12062,1036,1905,550,615,89.4,252,53,10,71,38,81.6
Jack Grealish,Manchester City,ENG,"FW,MF",27,10910,875,1695,443,479,92.5,247,34,0,74,53,67.9
Kevin De Bruyne,Manchester City,BEL,MF,32,13386,1134,3889,495,558,88.7,259,60,12,126,158,47.5
John Stones,Manchester City,ENG,"DF,MF",29,17024,1146,4189,541,572,94.6,456,1,0,80,72,79.2
Stefan Ortega,Manchester City,GER,GK,30,8239,439,5800,101,102,99,171,0,0,0,160,51.9
Rico Lewis,Manchester City,ENG,"MF,DF",18,12352,935,1948,524,546,96,291,15,0,63,41,68.3
Matheus Nunes,Manchester City,POR,"MF,FW",24,9152,766,1573,427,464,92,196,27,3,70,39,56.4
Oscar Bobb,Manchester City,NOR,"FW,MF",20,3002,276,638,161,171,94.2,60,25,2,31,4,100
Sergio Gómez,Manchester City,ESP,"DF,FW",22,3222,246,539,121,130,93.1,83,8,4,10,12,58.3
Kalvin Phillips,Manchester City,ENG,MF,27,2877,187,769,76,79,96.2,79,1,1,17,17,76.5
