,Playing Time,Performance,Expected,Progression,Per 90 Minutes,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
,DF,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,GK,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,"FW,MF",25,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,MF,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
"3,097",it ITA,DF,24,36,34,34.4,3,4,7,3,0,0,6,0.13,0.07,0.13,Matches,4.3,9,89,2,0.09,0.12,0.20,0.09,0.20,0.07,0.06
"2,996",cg CGO,MF,25,35,35,33.3,1,0,1,1,0,0,5,0.05,0.02,0.05,Matches,1.6,37,137,52,0.03,0.00,0.03,0.03,0.03,0.02,0.03
"2,802",it ITA,DF,23,41,26,31.1,1,3,4,1,0,0,2,0.17,0.05,0.17,Matches,4.8,35,99,84,0.03,0.10,0.13,0.03,0.13,0.05,0.12
"2,789",it ITA,GK,27,31,31,31.0,0,0,0,0,0,0,3,0.00,0.00,0.00,Matches,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2,538",it ITA,DF,28,33,29,28.2,1,1,2,1,0,0,5,0.09,0.02,0.09,Matches,2.5,62,96,99,0.04,0.04,0.07,0.04,0.07,0.02,0.07
"2,398",uy URU,"MF,DF",27,34,30,26.6,2,3,5,1,1,1,7,0.24,0.11,0.21,Matches,5.5,57,76,89,0.08,0.11,0.19,0.04,0.15,0.14,0.10
"2,099",ao ANG,"FW,MF",21,32,20,23.3,4,6,10,4,0,0,5,0.33,0.18,0.33,Matches,7.1,85,21,181,0.17,0.26,0.43,0.17,0.43,0.18,0.14
"1,972",it ITA,MF,19,26,19,21.9,1,1,2,1,0,0,4,0.13,0.09,0.13,Matches,2.8,8,66,17,0.05,0.05,0.09,0.05,0.09,0.09,0.03
"1,777",it ITA,MF,27,30,20,19.7,1,0,1,1,0,0,8,0.19,0.14,0.19,Matches,3.4,9,64,21,0.05,0.00,0.05,0.05,0.05,0.14,0.05
"1,582",gh GHA,MF,20,24,18,17.6,2,0,2,2,0,0,4,0.06,0.05,0.06,Matches,0.9,15,27,14,0.11,0.00,0.11,0.11,0.11,0.05,0.01
"1,288",it ITA,"MF,FW",33,28,11,14.3,6,3,9,6,0,1,3,0.54,0.19,0.49,Matches,6.5,22,57,68,0.42,0.21,0.63,0.42,0.63,0.25,0.29
"1,263",it ITA,"FW,MF",20,27,13,14.0,2,1,3,2,0,0,2,0.23,0.14,0.23,Matches,2.8,25,26,76,0.14,0.07,0.21,0.14,0.21,0.14,0.09
"1,250",pe PER,FW,33,24,14,13.9,4,1,5,3,1,1,3,0.44,0.30,0.38,Matches,5.1,8,4,63,0.29,0.07,0.36,0.22,0.29,0.36,0.08
"1,226",sk SVK,DF,20,20,12,13.6,0,1,1,0,0,0,1,0.10,0.01,0.10,Matches,1.1,14,37,5,0.00,0.07,0.07,0.00,0.07,0.01,0.09
"1,215",co COL,DF,28,14,14,13.5,2,0,2,1,1,1,4,0.10,0.04,0.04,Matches,0.5,4,23,3,0.15,0.00,0.15,0.07,0.07,0.10,0.00
"1,178",it ITA,FW,28,20,15,13.1,1,2,3,1,0,0,2,0.23,0.15,0.23,Matches,2.6,11,14,56,0.08,0.15,0.23,0.08,0.23,0.15,0.09
"1,175",pl POL,DF,26,21,12,13.1,0,1,1,0,0,0,6,0.08,0.03,0.08,Matches,0.9,16,33,1,0.00,0.08,0.08,0.00,0.08,0.03,0.05
"1,110",br BRA,"DF,MF",29,28,11,12.3,1,0,1,1,0,0,2,0.18,0.12,0.18,Matches,1.9,47,35,42,0.08,0.00,0.08,0.08,0.08,0.12,0.06
"1,066",gr GRE,DF,26,15,15,11.8,0,0,0,0,0,0,1,0.04,0.04,0.04,Matches,0.4,3,34,7,0.00,0.00,0.00,0.00,0.00,0.04,0.00
"1,047",uz UZB,"FW,MF",28,24,11,11.6,3,3,6,3,0,0,1,0.50,0.34,0.50,Matches,5.2,12,18,52,0.26,0.26,0.52,0.26,0.52,0.34,0.16
"1,012",it ITA,DF,29,14,12,11.2,0,0,0,0,0,0,3,0.06,0.05,0.06,Matches,0.7,9,50,3,0.00,0.00,0.00,0.00,0.00,0.05,0.01
979,cz CZE,"MF,FW",27,20,15,10.9,1,2,3,1,0,0,0,0.21,0.15,0.20,Matches,1.9,12,26,48,0.09,0.18,0.28,0.09,0.28,0.16,0.05
960,rs SRB,GK,27,10,10,10.7,0,0,0,0,0,0,0,0.00,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
745,it ITA,"FW,MF",23,11,10,8.3,4,1,5,3,1,1,1,0.31,0.06,0.22,Matches,1.8,17,41,42,0.48,0.12,0.60,0.36,0.48,0.15,0.16
712,it ITA,FW,34,20,6,7.9,4,1,5,4,0,1,4,0.41,0.37,0.41,Matches,2.9,1,16,40,0.51,0.13,0.63,0.51,0.63,0.37,0.04
483,it ITA,"DF,MF",24,18,4,5.4,1,0,1,1,0,0,1,0.07,0.02,0.07,Matches,0.3,6,11,19,0.19,0.00,0.19,0.19,0.19,0.02,0.05
227,it ITA,"MF,FW",34,7,4,2.5,0,0,0,0,0,1,0,0.85,0.29,0.42,Matches,0.7,4,8,11,0.00,0.00,0.00,0.00,0.00,0.71,0.13
72,uy URU,"FW,MF",28,2,0,0.8,0,0,0,0,0,0,1,,,,Matches,,,,,0.00,0.00,0.00,0.00,0.00,,
39,zm ZAM,"FW,MF",20,5,0,0.4,1,0,1,1,0,0,0,0.17,0.17,0.17,Matches,0.1,1,0,2,2.31,0.00,2.31,2.31,2.31,0.17,0.00
1,it ITA,GK,37,1,0,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,bg BUL,GK,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,it ITA,FW,17,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,it ITA,FW,20,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,gr GRE,MF,20,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,ug UGA,DF,27,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,it ITA,MF,23,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,it ITA,DF,24,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
33.0,GK,29,33,33,"2,970",0,0,0,0,0,0,2,0,0.00,0.01,Matches,0.4,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01
32.9,DF,28,33,33,"2,958",2,0,2,2,0,0,2,0,0.07,0.07,Matches,2.3,13,105,5,0.06,0.00,0.06,0.06,0.06,0.07,0.01,0.07
30.9,DF,21,31,31,"2,777",0,0,0,0,0,0,9,0,0.03,0.07,Matches,2.1,20,107,27,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07
28.2,DF,26,29,29,"2,535",3,5,8,3,0,0,6,0,0.04,0.19,Matches,5.1,31,82,111,0.11,0.18,0.28,0.11,0.28,0.04,0.15,0.19
26.0,MF,30,33,27,"2,343",3,2,5,3,0,0,1,1,0.08,0.14,Matches,3.2,23,119,97,0.12,0.08,0.19,0.12,0.19,0.08,0.06,0.14
25.4,MF,29,30,27,"2,284",2,0,2,0,2,2,4,0,0.05,0.09,Matches,2.3,22,148,25,0.08,0.00,0.08,0.00,0.00,0.12,0.04,0.15
24.3,"FW,DF",21,33,27,"2,188",0,5,5,0,0,0,6,0,0.09,0.28,Matches,6.3,59,62,138,0.00,0.21,0.21,0.00,0.21,0.09,0.19,0.28
23.6,DF,21,24,24,"2,121",0,0,0,0,0,0,2,0,0.02,0.02,Matches,0.4,12,31,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02
22.8,MF,21,35,23,"2,056",2,1,3,2,0,0,5,0,0.08,0.19,Matches,3.8,41,122,67,0.09,0.04,0.13,0.09,0.13,0.08,0.11,0.19
19.5,"DF,MF",32,31,20,"1,751",0,3,3,0,0,0,3,0,0.08,0.13,Matches,2.3,30,64,102,0.00,0.15,0.15,0.00,0.15,0.08,0.06,0.13
18.7,"FW,MF",25,33,18,"1,685",5,1,6,3,2,2,5,0,0.14,0.23,Matches,4.0,38,36,101,0.27,0.05,0.32,0.16,0.21,0.23,0.08,0.32
18.4,DF,30,21,19,"1,658",1,1,2,1,0,0,3,0,0.06,0.10,Matches,1.8,8,48,8,0.05,0.05,0.11,0.05,0.11,0.06,0.04,0.10
15.9,FW,25,23,16,"1,434",5,1,6,3,2,2,4,0,0.37,0.40,Matches,6.2,18,20,115,0.31,0.06,0.38,0.19,0.25,0.47,0.04,0.51
13.2,FW,33,20,13,"1,186",6,0,6,6,0,0,3,1,0.25,0.32,Matches,3.9,14,23,65,0.46,0.00,0.46,0.46,0.46,0.25,0.07,0.32
12.8,MF,21,16,14,"1,154",0,0,0,0,0,0,4,1,0.02,0.05,Matches,0.6,27,70,15,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05
12.1,"MF,FW",24,19,13,"1,093",4,2,6,4,0,0,1,0,0.21,0.41,Matches,4.6,22,43,72,0.33,0.16,0.49,0.33,0.49,0.21,0.19,0.41
10.9,"FW,MF",20,26,9,980,1,2,3,1,0,0,1,0,0.13,0.20,Matches,1.8,35,22,82,0.09,0.18,0.28,0.09,0.28,0.13,0.07,0.20
8.3,"MF,FW",26,25,6,744,1,2,3,1,0,1,4,2,0.28,0.45,Matches,3.0,22,35,68,0.12,0.24,0.36,0.12,0.36,0.39,0.17,0.57
7.4,"DF,MF",32,16,7,663,0,0,0,0,0,0,1,0,0.09,0.29,Matches,1.3,7,16,27,0.00,0.00,0.00,0.00,0.00,0.09,0.20,0.29
6.3,"MF,FW",21,20,7,571,0,0,0,0,0,0,5,2,0.03,0.08,Matches,0.5,7,25,16,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08
3.4,"FW,MF",18,15,2,304,1,1,2,1,0,0,0,0,0.19,0.22,Matches,0.6,3,9,19,0.30,0.30,0.59,0.30,0.59,0.19,0.03,0.22
3.0,GK,32,3,3,270,0,0,0,0,0,0,1,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.8,FW,19,10,2,248,0,0,0,0,0,0,0,0,0.12,0.16,Matches,0.5,1,2,7,0.00,0.00,0.00,0.00,0.00,0.12,0.04,0.16
2.6,"FW,MF",22,7,3,237,0,0,0,0,0,0,0,0,0.14,0.39,Matches,1.0,4,4,18,0.00,0.00,0.00,0.00,0.00,0.14,0.24,0.39
1.0,GK,21,1,1,90,0,0,0,0,0,0,0,0,,,Matches,,,,,0.00,0.00,0.00,0.00,0.00,,,
0.5,"MF,FW",26,5,0,44,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.4,MF,28,7,0,40,1,0,1,1,0,0,0,0,0.17,0.17,Matches,0.0,0,5,1,2.25,0.00,2.25,2.25,2.25,0.17,0.00,0.17
0.2,MF,18,4,0,20,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.1,FW,23,1,0,6,0,0,0,0,0,0,0,0,,,Matches,,,,,0.00,0.00,0.00,0.00,0.00,,,
,DF,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,17,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,GK,17,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,FW,17,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
36.1,"FW,MF",20,39,36,"3,245",11,3,14,6,5,6,5,0,0.17,0.36,Matches,12.3,115,198,211,0.31,0.08,0.39,0.17,0.25,0.30,0.19,0.49
35.7,DF,22,37,35,"3,214",0,1,1,0,0,0,9,0,0.02,0.04,Matches,1.4,22,118,4,0.00,0.03,0.03,0.00,0.03,0.02,0.02,0.04
33.1,MF,22,39,33,"2,975",1,1,2,1,0,0,10,0,0.02,0.07,Matches,2.3,10,155,24,0.03,0.03,0.06,0.03,0.06,0.02,0.05,0.07
32.2,DF,33,36,32,"2,900",1,1,2,1,0,0,7,0,0.04,0.05,Matches,1.6,2,47,2,0.03,0.03,0.06,0.03,0.06,0.04,0.01,0.05
31.5,GK,21,32,32,"2,835",0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28.4,MF,23,40,27,"2,552",4,2,6,4,0,0,1,0,0.09,0.15,Matches,3.9,46,70,100,0.14,0.07,0.21,0.14,0.21,0.09,0.06,0.15
27.2,MF,27,32,29,"2,449",5,0,5,5,0,0,6,1,0.09,0.14,Matches,3.4,18,167,53,0.18,0.00,0.18,0.18,0.18,0.09,0.05,0.14
25.7,FW,25,39,26,"2,312",8,1,9,6,2,2,0,0,0.35,0.41,Matches,9.6,31,22,139,0.31,0.04,0.35,0.23,0.27,0.38,0.06,0.44
19.8,DF,25,28,20,"1,779",2,2,4,2,0,0,1,0,0.08,0.14,Matches,2.4,30,65,59,0.10,0.10,0.20,0.10,0.20,0.08,0.06,0.14
19.7,DF,21,27,19,"1,769",2,2,4,2,0,0,3,0,0.07,0.09,Matches,1.5,4,47,18,0.10,0.10,0.20,0.10,0.20,0.07,0.02,0.09
19.0,"MF,DF",26,30,17,"1,707",0,0,0,0,0,0,3,0,0.04,0.18,Matches,3.1,42,61,87,0.00,0.00,0.00,0.00,0.00,0.04,0.14,0.18
15.6,DF,22,18,16,"1,408",0,1,1,0,0,0,4,0,0.01,0.08,Matches,1.0,35,33,39,0.00,0.06,0.06,0.00,0.06,0.01,0.07,0.08
14.4,DF,25,15,14,"1,298",0,4,4,0,0,0,1,0,0.03,0.10,Matches,1.2,6,36,39,0.00,0.28,0.28,0.00,0.28,0.03,0.06,0.10
14.0,DF,24,14,14,"1,258",1,5,6,1,0,0,3,0,0.03,0.23,Matches,3.3,31,42,71,0.07,0.36,0.43,0.07,0.43,0.03,0.20,0.23
13.1,DF,24,16,14,"1,178",0,1,1,0,0,0,3,0,0.07,0.25,Matches,3.3,38,41,61,0.00,0.08,0.08,0.00,0.08,0.07,0.19,0.25
13.1,"MF,FW",25,21,15,"1,177",4,3,7,3,1,1,3,0,0.21,0.31,Matches,3.5,43,38,56,0.31,0.23,0.54,0.23,0.46,0.27,0.10,0.38
12.2,"MF,FW",21,23,13,"1,102",3,2,5,3,0,0,3,0,0.11,0.27,Matches,3.2,10,32,42,0.25,0.16,0.41,0.25,0.41,0.11,0.16,0.27
10.8,GK,24,11,10,975,0,0,0,0,0,0,1,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.2,FW,21,22,9,920,3,1,4,2,1,2,2,0,0.43,0.46,Matches,4.2,6,11,46,0.29,0.10,0.39,0.20,0.29,0.60,0.03,0.64
7.6,"MF,DF",29,15,7,681,0,1,1,0,0,0,1,0,0.13,0.19,Matches,1.0,6,23,23,0.00,0.13,0.13,0.00,0.13,0.13,0.06,0.19
6.6,"FW,DF",17,18,7,596,2,1,3,2,0,0,2,0,0.15,0.28,Matches,1.5,10,22,54,0.30,0.15,0.45,0.30,0.45,0.15,0.13,0.28
6.4,"FW,MF",28,12,7,574,1,0,1,1,0,0,1,0,0.08,0.18,Matches,1.0,12,29,39,0.16,0.00,0.16,0.16,0.16,0.08,0.10,0.18
6.2,FW,22,23,6,560,1,0,1,1,0,0,0,0,0.22,0.28,Matches,1.6,6,11,45,0.16,0.00,0.16,0.16,0.16,0.22,0.05,0.28
6.1,"FW,MF",24,16,4,553,1,0,1,1,0,0,3,0,0.06,0.10,Matches,0.4,15,20,37,0.16,0.00,0.16,0.16,0.16,0.06,0.04,0.10
4.4,DF,19,6,5,394,0,0,0,0,0,0,1,0,0.03,0.03,Matches,0.1,2,12,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03
3.8,MF,31,12,5,342,0,0,0,0,0,0,2,0,0.05,0.05,Matches,0.1,1,7,8,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05
3.6,DF,27,7,3,321,0,0,0,0,0,0,0,0,0.00,0.02,Matches,0.1,2,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02
3.3,"FW,MF",22,11,3,298,0,0,0,0,0,0,0,0,0.34,0.44,Matches,1.4,11,9,23,0.00,0.00,0.00,0.00,0.00,0.34,0.10,0.44
2.1,"FW,DF",20,8,2,193,0,0,0,0,0,0,1,0,0.00,0.00,Matches,0.0,0,1,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.0,"FW,MF",20,6,1,182,0,0,0,0,0,0,1,0,0.06,0.13,Matches,0.3,7,2,19,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.13
1.0,FW,23,2,1,88,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.5,MF,27,2,0,49,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.2,FW,29,1,0,16,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.1,MF,29,1,0,9,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0,GK,37,0,0,,0,0,0,0,0,0,0,1,,,Matches,,,,,,,,,,,,
,MF,17,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,GK,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,MF,22,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,MF,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,"FW,MF",33,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,23,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,MF,23,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
34.8,MF,32,36,36,"3,134",3,1,4,1,2,2,14,0,0.05,0.09,Matches,3.1,27,154,37,0.09,0.03,0.11,0.03,0.06,0.09,0.04,0.13
33.9,GK,30,34,34,"3,048",0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29.0,"FW,MF",26,37,30,"2,612",5,1,6,5,0,0,5,0,0.35,0.40,Matches,11.7,31,28,102,0.17,0.03,0.21,0.17,0.21,0.35,0.06,0.40
29.0,DF,30,35,29,"2,611",0,0,0,0,0,0,2,0,0.02,0.06,Matches,1.6,25,75,70,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.06
28.3,DF,29,30,30,"2,547",0,0,0,0,0,0,12,0,0.03,0.03,Matches,0.9,16,82,10,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03
27.9,DF,25,30,28,"2,514",1,2,3,1,0,0,10,0,0.05,0.13,Matches,3.5,40,94,57,0.04,0.07,0.11,0.04,0.11,0.05,0.07,0.13
21.7,"MF,FW",21,29,25,"1,954",1,1,2,1,0,0,0,1,0.10,0.25,Matches,5.3,81,70,119,0.05,0.05,0.09,0.05,0.09,0.10,0.15,0.25
21.7,DF,23,23,23,"1,954",0,1,1,0,0,0,4,2,0.02,0.03,Matches,0.6,10,80,2,0.00,0.05,0.05,0.00,0.05,0.02,0.01,0.03
18.9,MF,30,25,18,"1,697",1,2,3,1,0,0,2,1,0.10,0.19,Matches,3.6,4,66,14,0.05,0.11,0.16,0.05,0.16,0.10,0.09,0.19
18.8,MF,28,30,21,"1,692",0,2,2,0,0,0,17,0,0.03,0.10,Matches,1.8,48,31,104,0.00,0.11,0.11,0.00,0.11,0.03,0.07,0.10
18.4,"MF,FW",31,33,18,"1,659",0,1,1,0,0,0,8,1,0.10,0.22,Matches,4.1,27,34,78,0.00,0.05,0.05,0.00,0.05,0.10,0.12,0.22
18.1,DF,22,29,16,"1,629",1,0,1,1,0,0,6,0,0.05,0.16,Matches,2.7,30,47,65,0.06,0.00,0.06,0.06,0.06,0.05,0.11,0.16
15.1,FW,32,23,18,"1,359",2,3,5,2,0,0,3,0,0.18,0.37,Matches,5.6,7,19,64,0.13,0.20,0.33,0.13,0.33,0.18,0.19,0.37
14.3,MF,30,26,14,"1,285",0,1,1,0,0,0,3,0,0.02,0.07,Matches,1.0,11,52,26,0.00,0.07,0.07,0.00,0.07,0.02,0.05,0.07
13.2,FW,26,32,12,"1,187",0,0,0,0,0,0,2,0,0.12,0.17,Matches,2.2,13,11,54,0.00,0.00,0.00,0.00,0.00,0.12,0.04,0.17
9.7,FW,30,16,9,873,3,1,4,3,0,0,3,0,0.26,0.43,Matches,4.2,7,12,40,0.31,0.10,0.41,0.31,0.41,0.26,0.17,0.43
9.1,MF,26,16,9,821,0,0,0,0,0,0,2,0,0.03,0.04,Matches,0.4,16,34,5,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04
8.8,DF,31,14,10,794,0,0,0,0,0,0,3,0,0.00,0.07,Matches,0.6,7,15,33,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07
8.7,MF,30,21,10,785,4,0,4,3,1,1,0,1,0.07,0.15,Matches,1.3,20,15,54,0.46,0.00,0.46,0.34,0.34,0.16,0.08,0.24
8.5,DF,26,11,9,763,0,0,0,0,0,0,0,0,0.02,0.02,Matches,0.2,2,15,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02
8.0,DF,34,9,8,723,1,0,1,1,0,0,4,0,0.12,0.16,Matches,1.3,2,31,1,0.12,0.00,0.12,0.12,0.12,0.12,0.04,0.16
6.5,"FW,MF",32,23,2,585,1,1,2,1,0,0,1,0,0.33,0.48,Matches,2.6,10,19,32,0.15,0.15,0.31,0.15,0.31,0.33,0.14,0.48
4.8,DF,23,6,5,430,0,0,0,0,0,0,0,0,0.04,0.04,Matches,0.2,2,7,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04
4.1,GK,29,5,4,372,0,0,0,0,0,0,1,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.5,"MF,FW",24,14,2,314,1,0,1,1,0,0,2,0,0.10,0.13,Matches,0.3,18,9,25,0.29,0.00,0.29,0.29,0.29,0.10,0.03,0.13
3.5,DF,25,5,2,312,0,0,0,0,0,0,2,0,0.11,0.11,Matches,0.3,0,4,0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11
2.2,MF,26,5,4,197,2,0,2,2,0,0,1,1,0.03,0.09,Matches,0.1,0,4,0,0.91,0.00,0.91,0.91,0.91,0.03,0.05,0.09
1.6,"FW,MF",37,8,1,144,0,0,0,0,0,0,0,0,0.16,0.28,Matches,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.16,0.13,0.28
1.0,MF,27,4,0,92,0,0,0,0,0,0,0,0,0.03,0.04,Matches,0.0,2,7,1,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04
1.0,"MF,FW",35,4,1,91,0,0,0,0,0,0,1,0,0.00,0.18,Matches,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18
1.0,GK,20,1,1,90,0,0,0,0,0,0,0,0,,,Matches,,,,,0.00,0.00,0.00,0.00,0.00,,,
0.5,MF,19,2,0,46,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.2,FW,19,1,0,21,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.1,MF,24,1,0,5,0,0,0,0,0,0,0,0,1.46,2.26,Matches,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,1.46,0.80,2.26
0.0,FW,18,1,0,4,0,0,0,0,0,0,0,0,0.00,1.70,Matches,0.1,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,1.70,1.70
,DF,20,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,MF,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,FW,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,GK,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,17,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,MF,20,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
34.2,GK,35,35,35,"3,077",0,0,0,0,0,0,3,0,0.00,0.00,Matches,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30.2,MF,23,34,30,"2,715",0,0,0,0,0,0,5,0,0.10,0.12,Matches,3.5,35,84,53,0.00,0.00,0.00,0.00,0.00,0.10,0.02,0.12
30.0,DF,27,30,30,"2,700",3,3,6,3,0,0,5,0,0.05,0.15,Matches,4.5,46,98,86,0.10,0.10,0.20,0.10,0.20,0.05,0.10,0.15
25.7,DF,36,27,26,"2,310",2,0,2,2,0,0,2,0,0.03,0.04,Matches,1.0,1,32,1,0.08,0.00,0.08,0.08,0.08,0.03,0.01,0.04
25.1,MF,19,31,26,"2,255",1,4,5,1,0,1,3,0,0.06,0.19,Matches,4.7,23,97,69,0.04,0.16,0.20,0.04,0.20,0.09,0.13,0.22
21.4,DF,31,23,23,"1,922",0,0,0,0,0,0,3,0,0.02,0.04,Matches,0.7,23,67,22,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04
21.3,"FW,MF",27,29,21,"1,913",1,2,3,1,0,0,2,0,0.07,0.24,Matches,5.0,65,28,145,0.05,0.09,0.14,0.05,0.14,0.07,0.16,0.24
20.5,DF,25,25,20,"1,849",0,1,1,0,0,0,4,0,0.04,0.06,Matches,1.3,4,38,3,0.00,0.05,0.05,0.00,0.05,0.04,0.02,0.06
19.4,FW,22,20,20,"1,747",13,4,17,10,3,3,0,1,0.37,0.49,Matches,9.5,52,51,95,0.67,0.21,0.88,0.52,0.72,0.49,0.12,0.61
19.0,DF,30,20,19,"1,707",0,0,0,0,0,0,4,1,0.01,0.01,Matches,0.1,1,41,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01
18.5,MF,27,24,19,"1,661",0,2,2,0,0,0,4,0,0.02,0.05,Matches,0.8,12,62,3,0.00,0.11,0.11,0.00,0.11,0.02,0.03,0.05
15.8,"FW,MF",24,30,18,"1,424",3,1,4,3,0,0,4,0,0.17,0.25,Matches,3.8,37,36,75,0.19,0.06,0.25,0.19,0.25,0.17,0.08,0.25
11.3,"MF,FW",20,22,11,"1,014",1,3,4,1,0,0,0,0,0.06,0.18,Matches,1.9,16,48,22,0.09,0.27,0.36,0.09,0.36,0.06,0.13,0.18
10.6,DF,25,14,11,950,0,2,2,0,0,0,2,0,0.02,0.18,Matches,1.7,10,29,29,0.00,0.19,0.19,0.00,0.19,0.02,0.16,0.18
10.3,DF,19,15,10,929,1,0,1,1,0,0,1,0,0.04,0.04,Matches,0.4,8,19,8,0.10,0.00,0.10,0.10,0.10,0.04,0.00,0.04
