,Playing Time,Performance,Expected,Progression,Per 90 Minutes,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
12.0,MF,21,31,9,"1,084",1,2,3,1,0,0,3,0,0.06,0.17,Matches,1.9,5,46,12,0.08,0.17,0.25,0.08,0.25,0.06,0.11,0.17
6.1,GK,26,6,6,547,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.2,"DF,FW",35,12,1,380,0,2,2,0,0,0,2,0,0.05,0.44,Matches,1.9,19,15,44,0.00,0.47,0.47,0.00,0.47,0.05,0.39,0.44
4.0,"MF,FW",30,18,3,363,0,0,0,0,0,0,1,0,0.03,0.10,Matches,0.3,2,10,6,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10
1.8,"DF,FW",24,10,0,161,1,0,1,1,0,0,0,0,0.11,0.29,Matches,0.5,12,4,22,0.56,0.00,0.56,0.56,0.56,0.11,0.18,0.29
0.9,MF,27,5,0,84,0,1,1,0,0,0,0,0,0.16,0.42,Matches,0.2,3,3,4,0.00,1.07,1.07,0.00,1.07,0.16,0.25,0.42
0.3,GK,29,1,0,23,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.2,MF,18,1,0,15,0,0,0,0,0,0,0,0,0.00,0.23,Matches,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.23
0.1,MF,21,1,0,5,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DF,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,GK,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,FW,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,"FW,MF",28,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,FW,17,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,MF,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
46.3,MF,27,48,48,"4,167",9,13,22,9,0,0,10,1,0.12,0.24,Matches,9.7,115,495,76,0.19,0.28,0.48,0.19,0.48,0.12,0.12,0.24
45.7,"FW,MF",23,51,46,"4,114",26,13,39,26,0,0,3,0,0.35,0.62,Matches,24.1,116,221,358,0.57,0.28,0.85,0.57,0.85,0.35,0.27,0.62
43.3,DF,33,45,43,"3,900",0,4,4,0,0,0,2,0,0.02,0.10,Matches,3.6,82,191,190,0.00,0.09,0.09,0.00,0.09,0.02,0.08,0.10
42.0,"DF,MF",28,46,42,"3,778",4,0,4,4,0,0,7,1,0.08,0.11,Matches,3.9,61,195,49,0.10,0.00,0.10,0.10,0.10,0.08,0.03,0.11
41.5,FW,23,45,43,"3,733",38,6,44,29,9,10,1,0,0.77,0.91,Matches,33.7,42,37,169,0.92,0.14,1.06,0.70,0.84,0.98,0.15,1.13
41.4,DF,26,44,41,"3,729",0,1,1,0,0,0,3,0,0.06,0.07,Matches,2.4,48,227,18,0.00,0.02,0.02,0.00,0.02,0.06,0.01,0.07
40.4,"FW,MF",28,47,41,"3,638",11,10,21,11,0,0,9,0,0.16,0.43,Matches,14.8,169,212,332,0.27,0.25,0.52,0.27,0.52,0.16,0.27,0.43
39.3,GK,29,41,41,"3,535",0,0,0,0,0,0,5,0,0.00,0.00,Matches,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38.2,DF,21,40,38,"3,437",5,2,7,5,0,0,5,0,0.10,0.17,Matches,5.3,81,183,131,0.13,0.05,0.18,0.13,0.18,0.10,0.06,0.17
37.3,"MF,FW",23,52,38,"3,357",17,11,28,15,2,2,5,0,0.41,0.65,Matches,21.0,80,122,206,0.46,0.29,0.75,0.40,0.70,0.46,0.24,0.70
32.0,"DF,MF",28,42,33,"2,884",3,2,5,3,0,0,0,0,0.13,0.19,Matches,5.0,34,148,24,0.09,0.06,0.16,0.09,0.16,0.13,0.06,0.19
28.8,MF,29,44,29,"2,593",2,1,3,2,0,0,5,0,0.08,0.17,Matches,3.8,51,116,54,0.07,0.03,0.10,0.07,0.10,0.08,0.10,0.17
24.2,"FW,MF",21,43,20,"2,181",6,9,15,6,0,0,4,0,0.18,0.46,Matches,9.6,256,71,361,0.25,0.37,0.62,0.25,0.62,0.18,0.28,0.46
21.5,"FW,MF",27,34,24,"1,934",3,3,6,3,0,0,7,0,0.19,0.45,Matches,7.7,130,74,239,0.14,0.14,0.28,0.14,0.28,0.19,0.26,0.45
19.4,MF,32,26,20,"1,744",6,18,24,6,0,0,3,0,0.23,0.99,Matches,15.7,53,126,161,0.31,0.93,1.24,0.31,1.24,0.23,0.77,0.99
19.0,"DF,MF",29,26,20,"1,706",1,2,3,1,0,0,2,0,0.07,0.09,Matches,1.4,21,80,28,0.05,0.11,0.16,0.05,0.16,0.07,0.02,0.09
18.1,GK,30,20,16,"1,625",0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.2,"MF,DF",18,26,16,"1,551",2,4,6,2,0,0,1,0,0.09,0.23,Matches,3.4,36,63,80,0.12,0.23,0.35,0.12,0.35,0.09,0.14,0.23
14.1,"MF,FW",24,27,13,"1,269",0,3,3,0,0,0,0,0,0.21,0.40,Matches,4.8,49,70,99,0.00,0.21,0.21,0.00,0.21,0.21,0.19,0.40
8.8,"FW,MF",20,24,7,795,2,1,3,2,0,0,0,0,0.28,0.52,Matches,3.0,20,31,48,0.23,0.11,0.34,0.23,0.34,0.28,0.25,0.52
